total_return,sharpe_ratio,final_value,symbol,strategy
-0.3255014716079997,-0.7301055212994877,67449.85283920003,sh.688653,RSI策略
-0.17025603239069706,-0.2793782681493999,82974.39676093029,sh.600774,RSI策略
0.479537728188223,1.1351825774968696,147953.7728188223,sz.301360,RSI策略
0.3033470887086864,0.30588082591289545,130334.70887086864,sh.603689,RSI策略
0.5441327052302859,0.2978657504749458,154413.2705230286,sz.300671,RSI策略
1.0061031007986385,0.6925892651657565,200610.31007986385,sh.688375,RSI策略
0.4320815646931753,0.4244015624101726,143208.15646931753,sh.603586,RSI策略
0.036302511996887915,0.028942936776052097,103630.25119968879,sz.300040,RSI策略
-0.004172166730200115,-0.08180958822989373,99582.78332697999,sz.002343,RSI策略
2.994450844691253,1.5973462037043067,399445.0844691253,sh.688685,RSI策略
-0.2116130405417073,-0.12623062085567338,78838.69594582927,sz.300868,RSI策略
-0.4897136731556448,-0.8356487028441629,51028.63268443552,sh.688133,RSI策略
2.865016145034257,0.6786847120093006,386501.61450342566,sz.000962,RSI策略
0.3357151962301688,0.5446029049186085,133571.51962301688,sh.600618,RSI策略
-0.2981170196895741,-0.15611176535801913,70188.29803104259,sh.688222,RSI策略
0.9242584938492003,0.5749090030858816,192425.84938492003,sh.600354,RSI策略
0.5659234142162002,0.43207243278544144,156592.34142162002,sz.000852,RSI策略
-0.06797948491813877,-0.16514164721813815,93202.05150818612,sz.002538,RSI策略
0.8022437956747136,0.47210795897565655,180224.37956747136,sh.688660,RSI策略
0.3307830153742008,0.24373289500211862,133078.30153742008,sh.600726,RSI策略
0.003912172972910048,0.12060912992791376,100391.217297291,sh.688056,RSI策略
-0.49939500699127326,-0.9983945143200602,50060.499300872674,sz.300958,RSI策略
2.8442264470344414,0.5604392089336682,384422.64470344415,sz.000831,RSI策略
0.37078011046626375,0.36248779426339517,137078.01104662637,sh.688070,RSI策略
0.27068750637856226,0.25722295374353926,127068.75063785622,sz.300374,RSI策略
-0.026818633046253527,-0.046797068906077065,97318.13669537465,sz.002486,RSI策略
0.07352206415144624,0.06466296290930688,107352.20641514462,sz.300009,RSI策略
0.06835313985813031,0.1262889103369612,106835.31398581303,sh.603237,RSI策略
0.045206356899638485,0.13918177785621552,104520.63568996385,sh.688621,RSI策略
-0.21796002188255514,-1.5771972424795706,78203.99781174448,sh.688391,RSI策略
-0.18818719396540545,-0.1300880976999113,81181.28060345945,sz.300905,RSI策略
-0.1508725061955466,-0.10724590262446376,84912.74938044534,sz.300712,RSI策略
-0.033445783900022216,-0.035414406878472415,96655.42160999778,sh.688602,RSI策略
0.8137742533490493,0.498383957237637,181377.42533490492,sz.301110,RSI策略
-0.035097401407245925,0.02427939846590813,96490.25985927541,sz.002783,RSI策略
0.822450381974192,0.47675433276611995,182245.0381974192,sz.301101,RSI策略
0.034392042044793486,0.08124510601895468,103439.20420447935,sz.002522,RSI策略
