total_return,sharpe_ratio,symbol,params
-0.38836006670820133,-0.37665689157964255,sz_300768,"{'rsi_period': 14, 'rsi_oversold': 30, 'rsi_overbought': 70}"
0.0008539467481196334,-0.09302080285155508,sz_300768,"{'rsi_period': 21, 'rsi_oversold': 25, 'rsi_overbought': 75}"
-0.2202999747697782,-0.37610118385158636,sz_300768,"{'rsi_period': 21, 'rsi_oversold': 30, 'rsi_overbought': 70}"
0.10609876678551751,0.1789428963876943,sz_002696,"{'rsi_period': 14, 'rsi_oversold': 25, 'rsi_overbought': 75}"
0.366138539456267,0.5391181969130044,sz_002696,"{'rsi_period': 14, 'rsi_oversold': 30, 'rsi_overbought': 70}"
0.0,,sz_002696,"{'rsi_period': 21, 'rsi_oversold': 25, 'rsi_overbought': 75}"
0.3701356845183234,0.5367730765385915,sz_002696,"{'rsi_period': 21, 'rsi_oversold': 30, 'rsi_overbought': 70}"
-0.07083151964999997,-1.2823601709920396,sh_688141,"{'rsi_period': 14, 'rsi_oversold': 25, 'rsi_overbought': 75}"
-0.22843169760000004,-1.0875535234826361,sh_688141,"{'rsi_period': 14, 'rsi_oversold': 30, 'rsi_overbought': 70}"
0.0,,sh_688141,"{'rsi_period': 21, 'rsi_oversold': 25, 'rsi_overbought': 75}"
0.0,,sh_688141,"{'rsi_period': 21, 'rsi_oversold': 30, 'rsi_overbought': 70}"
-0.44609653829041673,-1.0953667299707726,sz_002969,"{'rsi_period': 14, 'rsi_oversold': 25, 'rsi_overbought': 75}"
-0.3854800186290659,-1.1180270808243897,sz_002969,"{'rsi_period': 14, 'rsi_oversold': 30, 'rsi_overbought': 70}"
-0.17747001237820964,-0.4049668167684829,sz_002969,"{'rsi_period': 21, 'rsi_oversold': 25, 'rsi_overbought': 75}"
-0.228392827212151,-0.6481525597800463,sz_002969,"{'rsi_period': 21, 'rsi_oversold': 30, 'rsi_overbought': 70}"
0.0,,sz_301160,"{'rsi_period': 14, 'rsi_oversold': 25, 'rsi_overbought': 75}"
0.049087410415879565,0.17092800532840302,sz_301160,"{'rsi_period': 14, 'rsi_oversold': 30, 'rsi_overbought': 70}"
0.0,,sz_301160,"{'rsi_period': 21, 'rsi_oversold': 25, 'rsi_overbought': 75}"
0.0,,sz_301160,"{'rsi_period': 21, 'rsi_oversold': 30, 'rsi_overbought': 70}"
0.488881245206857,0.3971481384414667,sz_000012,"{'rsi_period': 14, 'rsi_oversold': 25, 'rsi_overbought': 75}"
0.488881245206857,0.3971481384414667,sz_000012,"{'rsi_period': 14, 'rsi_oversold': 30, 'rsi_overbought': 70}"
0.020791115590037518,0.013070648552532645,sz_000012,"{'rsi_period': 21, 'rsi_oversold': 25, 'rsi_overbought': 75}"
-0.2203787598560474,-1.1461201682270765,sz_000012,"{'rsi_period': 21, 'rsi_oversold': 30, 'rsi_overbought': 70}"
-0.32927168231227333,-1.105249333537272,sh_600075,"{'rsi_period': 14, 'rsi_oversold': 25, 'rsi_overbought': 75}"
-0.34270558438397175,-0.6052958910708389,sh_600075,"{'rsi_period': 14, 'rsi_oversold': 30, 'rsi_overbought': 70}"
0.0,,sh_600075,"{'rsi_period': 21, 'rsi_oversold': 25, 'rsi_overbought': 75}"
-0.12836980752882518,-0.45400647357411483,sh_600075,"{'rsi_period': 21, 'rsi_oversold': 30, 'rsi_overbought': 70}"
0.0894510408980673,0.8710345070653075,sh_603511,"{'rsi_period': 14, 'rsi_oversold': 25, 'rsi_overbought': 75}"
